SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
6.200000000000000000e+01	3.188825086784172896e-03	3.145504732874874858e-03	3.106387819928379482e-03	3.070711229100553906e-03	3.037809339827016175e-03	3.007179622430744981e-03	2.978572373333353892e-03	2.951744910265064348e-03	2.926240115156585747e-03	2.902153181984298055e-03	2.879320372991696873e-03
6.100000000000000000e+01	3.334536689544291815e-03	3.289542969622181925e-03	3.249053632502430650e-03	3.212034729424548003e-03	3.178003461181624131e-03	3.146179483397998963e-03	3.116626008089774889e-03	3.088750777529585771e-03	3.062319076505015409e-03	3.037266301338689516e-03	3.013558095047428644e-03
6.000000000000000000e+01	3.483591079779595982e-03	3.436975759297321298e-03	3.395039390335112192e-03	3.356705673003875477e-03	3.321226834651961300e-03	3.288417999374321221e-03	3.257711001074775625e-03	3.228827968691392811e-03	3.201387961807378082e-03	3.175566197344167809e-03	3.150935128237706585e-03
5.900000000000000000e+01	3.632221571375236335e-03	3.583972555364840860e-03	3.540569135061828396e-03	3.500793155911477179e-03	3.464252558956181383e-03	3.430344398105735979e-03	3.398503720094408348e-03	3.368557113787637620e-03	3.340314065535823773e-03	3.313449594767730287e-03	3.287928767337403545e-03
5.800000000000000000e+01	3.784549941048960010e-03	3.734652774297310060e-03	3.689724722603105085e-03	3.648730617006905406e-03	3.610881037426303189e-03	3.575694952029669429e-03	3.542875032483812098e-03	3.511928638216646730e-03	3.482666354089114947e-03	3.454944581196375038e-03	3.428574835974362855e-03
5.700000000000000000e+01	3.932203945012283271e-03	3.880760084249211799e-03	3.834445630658744105e-03	3.792156696111557805e-03	3.753059427456639525e-03	3.716813624055790351e-03	3.682833162149290896e-03	3.650943424337511553e-03	3.620737901100591887e-03	3.592152981747987524e-03	3.564880963897699376e-03
5.600000000000000000e+01	4.079020147870693162e-03	4.026102607451203207e-03	3.978376113437541092e-03	3.934758565209326396e-03	3.894501167643739901e-03	3.857201168960198902e-03	3.822191687116947931e-03	3.789271407185242427e-03	3.758173817691975397e-03	3.728729453453107599e-03	3.700635125421658164e-03
5.500000000000000000e+01	4.225034455927786751e-03	4.170553458567468307e-03	4.121386267628945367e-03	4.076412367807293914e-03	4.035113598716706315e-03	3.996628863898175552e-03	3.960635664524077802e-03	3.926731687660928345e-03	3.894779656774235814e-03	3.864321521961228568e-03	3.835525364496521726e-03
5.400000000000000000e+01	4.369924464827714371e-03	4.313891603873024755e-03	4.263405859849826382e-03	4.217205953474603870e-03	4.174672348033014666e-03	4.135115768290710536e-03	4.098147872488667152e-03	4.063352611013010263e-03	4.030476088128680419e-03	3.999177124914246075e-03	3.969507472837197071e-03
5.300000000000000000e+01	4.513587427597233991e-03	4.456138840428403199e-03	4.404217951086763366e-03	4.356799580159439328e-03	4.313104020855893297e-03	4.272484266209521445e-03	4.234400387729931638e-03	4.198725482304617625e-03	4.164966504719802391e-03	4.133014175277354221e-03	4.102493257231996579e-03
5.200000000000000000e+01	4.655926543457111245e-03	4.596972592071304695e-03	4.543726929269189044e-03	4.495166799173604989e-03	4.450336226237275490e-03	4.408663734086810601e-03	4.369730193564551161e-03	4.333110693941336945e-03	4.298465932367694781e-03	4.265601254142296558e-03	4.234304008207247748e-03
5.100000000000000000e+01	4.797009890858059712e-03	4.736547067861781105e-03	4.682034574861540163e-03	4.632099022625834998e-03	4.586285329864102020e-03	4.543597992530476991e-03	4.503669968949123269e-03	4.466054803709668813e-03	4.430506615889899698e-03	4.396880360430841135e-03	4.364856774409151680e-03
5.000000000000000000e+01	4.936552443107848458e-03	4.874564407981706211e-03	4.818765904242576677e-03	4.767847565556385114e-03	4.720796836889236923e-03	4.677038425776143191e-03	4.636174953189946095e-03	4.597690654218524603e-03	4.561356088527652140e-03	4.526954231700952395e-03	4.494153102880191208e-03
