SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
7.700000000000000000e+01	2.857030100691164919e-05	2.493236540336797515e-05	2.215206057817519435e-05	1.995410422488627192e-05	1.816841102112560529e-05	1.668931525298372065e-05	1.544101693577579681e-05	1.437325270672904492e-05	1.344758710834529471e-05	1.263776929372365142e-05	1.192286628824740849e-05
7.600000000000000000e+01	3.276022206410491580e-05	2.859685918120560773e-05	2.541428556660348332e-05	2.289797080002716343e-05	2.085496374766884867e-05	1.916017658274968337e-05	1.773133874842748516e-05	1.650938513102918391e-05	1.544898739902606272e-05	1.452269984418484097e-05	1.370428517335138878e-05
7.500000000000000000e+01	3.729394391276673901e-05	3.256576837111979303e-05	2.894938085521090091e-05	2.608819660825972394e-05	2.376586970664524659e-05	2.183992038699295718e-05	2.021508223302044741e-05	1.882488961582327291e-05	1.762111785362962247e-05	1.656542009553039550e-05	1.563453418899874323e-05
7.400000000000000000e+01	4.218045909578714938e-05	3.684035762845682321e-05	3.275666189650617416e-05	2.952746900343308211e-05	2.690281352026505616e-05	2.472737622271752936e-05	2.289112129413615763e-05	2.132104281545156731e-05	1.996067388287703324e-05	1.876870539940522583e-05	1.771551363387576669e-05
7.300000000000000000e+01	4.741786520365542110e-05	4.142156974773710291e-05	3.683989013983565833e-05	3.321308664551692161e-05	3.026668494590922990e-05	2.782386384617495893e-05	2.576304390889366222e-05	2.399734208752332118e-05	2.247049658151073761e-05	2.113130901168773336e-05	1.995006051287792224e-05
7.200000000000000000e+01	5.300032821488538556e-05	4.631367259327601849e-05	4.119814460982871061e-05	3.714731469354074574e-05	3.385755218242378627e-05	3.112665850169125828e-05	2.882505272966396064e-05	2.685517213180241272e-05	2.514656645129454077e-05	2.365344014922595730e-05	2.233157758912116775e-05
7.100000000000000000e+01	5.893743223824078636e-05	5.150850098820656983e-05	4.582216251608877138e-05	4.132551116867367496e-05	3.767117287380692976e-05	3.463622221062272378e-05	3.207890880147844877e-05	2.988932887526358150e-05	2.799136437710070718e-05	2.633052369688854870e-05	2.486394513817740355e-05
7.000000000000000000e+01	6.521228636136583846e-05	5.700363141654063789e-05	5.072312097295211673e-05	4.574430112316440913e-05	4.170572746708436885e-05	3.835124571626387016e-05	3.552010194479566894e-05	3.309788147972463307e-05	3.100161018923400322e-05	2.916399618402013686e-05	2.754236086165069255e-05
6.900000000000000000e+01	7.182691000311771387e-05	6.279009477348438935e-05	5.587794963986808522e-05	5.040532948277404076e-05	4.595220787236110540e-05	4.226119995430165213e-05	3.914668945933570026e-05	3.647956341825928670e-05	3.417064263831455853e-05	3.214851046448919839e-05	3.036357461483798467e-05
6.800000000000000000e+01	7.876952668336576131e-05	6.887295014680807498e-05	6.128981704793218883e-05	5.529228500135195754e-05	5.041420382130647372e-05	4.636870451564381531e-05	4.295412759610872330e-05	4.003013874692649943e-05	3.749807247857549501e-05	3.528316683516499405e-05	3.332177896627897386e-05
6.700000000000000000e+01	8.603125660674770846e-05	7.522964715813043699e-05	6.695637003064272411e-05	6.040389149060348359e-05	5.508069528783043081e-05	5.066291534148687577e-05	4.693651842800551400e-05	4.374220725787595043e-05	4.097847439523501554e-05	3.855697969928818141e-05	3.641800190936427770e-05
6.600000000000000000e+01	9.361375468338583856e-05	8.186291565709337067e-05	7.286573324425570574e-05	6.573969800427475639e-05	5.994865648905586185e-05	5.514266886742726672e-05	5.108692644713959727e-05	4.761264628472117172e-05	4.460597883604175217e-05	4.197253943149998115e-05	3.964635076575203526e-05
6.500000000000000000e+01	1.014972846650252157e-04	8.875040124830742316e-05	7.900391644062891225e-05	7.128200968306686145e-05	6.500779753996398453e-05	5.979471944754140164e-05	5.540335087633319457e-05	5.163649709988516547e-05	4.837781711761106280e-05	4.552441565819079558e-05	4.300077944948547980e-05
6.400000000000000000e+01	1.096688371265000311e-04	9.590155334845579000e-05	8.536982867492498713e-05	7.702942947153936990e-05	7.025101968901642415e-05	6.462447483641409489e-05	5.987369177509193631e-05	5.580967842687375492e-05	5.228645565515083844e-05	4.920531930886969682e-05	4.648243133910522789e-05
6.300000000000000000e+01	1.181200996870015741e-04	1.032913213334681865e-04	9.195119376233746114e-05	8.297029610890748125e-05	7.567498868080877936e-05	6.961305740562755964e-05	6.449817966027293745e-05	6.012311261397270583e-05	5.632768612543120142e-05	5.300447578794036666e-05	5.007376598379532651e-05
6.200000000000000000e+01	1.268384536526044896e-04	1.109169894959877709e-04	9.874123050585273604e-05	8.909676412971864929e-05	8.125683940562037949e-05	7.475442299752303168e-05	6.926421365669207630e-05	6.456295879379762121e-05	6.049058898281460588e-05	5.692332299546411879e-05	5.377885772467152662e-05
6.100000000000000000e+01	1.355977747976369065e-04	1.185653731594271193e-04	1.055497502812063329e-04	9.524467394144498021e-05	8.687240768863531046e-05	7.991714065631011336e-05	7.405198094539391007e-05	6.902566176025573519e-05	6.467183280517703838e-05	6.085930835889313552e-05	5.749863448376115501e-05
6.000000000000000000e+01	1.447782024818164990e-04	1.265874855556870741e-04	1.126878566908042070e-04	1.016865661242267771e-04	9.274573721489887568e-05	8.532473451494638171e-05	7.905993166246526413e-05	7.369820717804755647e-05	6.905002432949300796e-05	6.498297218430103479e-05	6.138940126698583005e-05
5.900000000000000000e+01	1.541757912088720134e-04	1.347809733581494863e-04	1.199822117855598645e-04	1.082663142375998861e-04	9.875762713359481409e-05	9.088121959784853105e-05	8.419128087164319822e-05	7.847763913743144358e-05	7.352281760156894523e-05	6.919316370388769847e-05	6.537504347668937447e-05
5.800000000000000000e+01	1.641860016841275585e-04	1.435294615017082553e-04	1.277597068476176226e-04	1.152921494299413957e-04	1.051518955178047779e-04	9.673932060508392725e-05	8.964334130068203404e-05	8.355985314820715468e-05	7.829079042513967192e-05	7.368053065937370152e-05	6.960702064986412879e-05
5.700000000000000000e+01	1.740537351890946295e-04	1.521492915344127637e-04	1.354334845804785158e-04	1.222119090194250803e-04	1.114670748833295670e-04	1.025410398603153993e-04	9.501606449926042447e-05	8.857432040754200622e-05	8.298974688707553041e-05	7.810208211262947256e-05	7.378612894105633332e-05
5.600000000000000000e+01	1.841169545520629730e-04	1.609347516016471861e-04	1.432452042075618996e-04	1.292582488395742867e-04	1.178905633723553969e-04	1.084643520324044718e-04	1.004984910921817847e-04	9.368089288034894618e-05	8.777341545574832355e-05	8.260591719327149999e-05	7.803906562973973694e-05
5.500000000000000000e+01	1.943654596197849941e-04	1.698715393077459364e-04	1.511942622457202324e-04	1.364150684115183673e-04	1.244315676043175666e-04	1.144680542596317836e-04	1.060703604113193388e-04	9.887191785870270749e-05	9.264284137160018332e-05	8.717995990438462991e-05	8.236430079798618222e-05
5.400000000000000000e+01	2.047703364855727826e-04	1.789490873206279662e-04	1.592664007171007260e-04	1.436925466061670731e-04	1.310611214251798586e-04	1.205712295561733269e-04	1.117217941899174670e-04	1.041375750241079016e-04	9.757469376832110985e-05	9.182219011464686062e-05	8.674978762828306183e-05
5.300000000000000000e+01	2.153110229829363403e-04	1.881517606016276146e-04	1.674339940882674943e-04	1.510668529041802992e-04	1.377756919624710476e-04	1.267530936596098098e-04	1.174387800672961136e-04	1.094774311797078734e-04	1.025732516224674319e-04	9.653661613346962804e-05	9.119882660533408405e-05
5.200000000000000000e+01	2.259890665472093197e-04	1.974571821461225157e-04	1.756947234140838468e-04	1.585234753053072247e-04	1.445743339404234791e-04	1.330045023972830525e-04	1.232364944793212422e-04	1.148795031229932006e-04	1.076373636864605312e-04	1.012910779473888217e-04	9.569348684688963223e-05
5.100000000000000000e+01	2.368075748965849385e-04	2.068612801618869049e-04	1.840675343533849971e-04	1.660550448718991058e-04	1.514461848902745177e-04	1.393249547413811921e-04	1.290889912618286368e-04	1.203318310898338040e-04	1.127403353389272889e-04	1.061028444695131650e-04	1.002344972141803537e-04
5.000000000000000000e+01	2.477181554068046284e-04	2.163563642075069674e-04	1.925097419401040227e-04	1.736547775915574970e-04	1.583775814310571821e-04	1.456899479737859841e-04	1.349947096409437070e-04	1.258291334217168079e-04	1.178971326238086633e-04	1.109499936759878716e-04	1.048182206969296289e-04
