SZA\Ozone_column_DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	425DU	450DU	475DU	500DU	
7.800000000000000000e+01	2.445914969828654343e-05	2.201232603702737149e-05	2.002547099523469153e-05	1.837995386951296955e-05	1.699283736592277217e-05	1.580644373675747300e-05	1.477925956367091114e-05	1.388062836031769759e-05	1.308748637768900082e-05	1.238210031966153484e-05	1.175002622870657710e-05	1.118036455646656724e-05	1.066434861167949317e-05
7.700000000000000000e+01	2.806342159840530812e-05	2.525659732304397315e-05	2.297990427191722140e-05	2.109408767300945865e-05	1.950419755936567482e-05	1.814480052117553994e-05	1.696809615880601289e-05	1.593915963209130920e-05	1.502980977523613676e-05	1.422179844290990736e-05	1.349766699319319167e-05	1.284581960520134965e-05	1.225439306336293824e-05
7.600000000000000000e+01	3.192569167425769456e-05	2.873575149985481606e-05	2.614879832513297063e-05	2.400579045756240297e-05	2.219802590475569300e-05	2.065446372313321880e-05	1.931685408374142325e-05	1.814735676273862517e-05	1.711565721214705052e-05	1.619619821691357112e-05	1.537400423701580703e-05	1.463213464699775288e-05	1.396013791289027383e-05
7.500000000000000000e+01	3.605318683196237853e-05	3.245126234220468682e-05	2.953255844348649938e-05	2.711382281815675181e-05	2.507476486299433860e-05	2.333277601059558152e-05	2.182379701775592252e-05	2.050365826414658085e-05	1.933974533262131752e-05	1.830460395243328444e-05	1.737513319775709999e-05	1.653935143958458923e-05	1.578044136840786401e-05
7.400000000000000000e+01	4.043543992297464414e-05	3.639940836871698361e-05	3.312861118097155380e-05	3.041689027923816967e-05	2.813162141555343990e-05	2.617806824046498479e-05	2.448826990228538669e-05	2.301003396324189184e-05	2.170343279693134192e-05	2.054231603342071349e-05	1.950286408312415165e-05	1.856574441090930758e-05	1.771681205395592658e-05
7.300000000000000000e+01	4.507577373672105381e-05	4.057768520781519181e-05	3.693417014466791561e-05	3.391190501670636627e-05	3.136797401264283146e-05	2.919034277371550218e-05	2.730661276122484365e-05	2.565922314608252367e-05	2.420578276262106099e-05	2.291272320066455612e-05	2.175504842908673395e-05	2.071033156067282778e-05	1.976487719609070043e-05
7.200000000000000000e+01	4.996887238507693129e-05	4.498915286680293496e-05	4.094483933269770409e-05	3.759830482378178420e-05	3.477681168756607149e-05	3.236539201712401612e-05	3.027868225804060094e-05	2.845438433707401976e-05	2.684354355652870247e-05	2.541148363583183354e-05	2.412907026892690654e-05	2.297135003603203098e-05	2.192497326001617761e-05
7.100000000000000000e+01	5.511057695051361550e-05	4.961791180849109976e-05	4.516455483075198336e-05	4.147204818862554001e-05	3.836134315991986696e-05	3.570327368103912841e-05	3.340338102292517787e-05	3.138883632917867909e-05	2.961671502243550219e-05	2.803555731824781399e-05	2.662242411168511599e-05	2.534906568127072912e-05	2.419477276695203082e-05
7.000000000000000000e+01	6.049867832291125726e-05	5.447158538291324559e-05	4.958254945669596280e-05	4.552985163385678936e-05	4.211705260733382335e-05	3.919714703664322101e-05	3.667464642813225635e-05	3.446603578232578370e-05	3.251781515738023606e-05	3.078758063422298868e-05	2.923500955595887907e-05	2.783770811097258300e-05	2.657161195932533659e-05
6.900000000000000000e+01	6.613089740770683998e-05	5.954051275781158190e-05	5.419799226738245332e-05	4.976958817662878454e-05	4.603837964541987351e-05	4.284926825876194734e-05	4.009270939003055866e-05	3.767895746735228394e-05	3.555191076450769434e-05	3.365852059969486558e-05	3.196487273548298351e-05	3.043760656157939949e-05	2.905284360366498756e-05
6.800000000000000000e+01	7.199136717379670664e-05	6.482205515493798687e-05	5.900339564033099356e-05	5.418748464908306058e-05	5.012561131510060342e-05	4.665615244742779121e-05	4.365067790184730455e-05	4.102825809733548327e-05	3.871198116400293874e-05	3.665060903930943945e-05	3.480844010227615847e-05	3.314631516927954040e-05	3.163867938191055582e-05
6.700000000000000000e+01	7.808863461144209279e-05	7.031297354756309553e-05	6.400171530256819374e-05	5.877655460010457753e-05	5.437535657849137076e-05	5.061034883145328414e-05	4.735456849926732267e-05	4.450883189590333438e-05	4.199571617975295345e-05	3.975976470071807505e-05	3.776246322710317564e-05	3.596212141922376139e-05	3.432875562281421131e-05
6.600000000000000000e+01	8.440472887570257821e-05	7.600415160647829309e-05	6.918384830611735937e-05	6.354077540363003550e-05	5.877972894557669149e-05	5.470777496784951925e-05	5.119101532984759198e-05	4.811606106723192387e-05	4.540021637228312666e-05	4.298733164969314823e-05	4.082779929805690751e-05	3.887828817503754652e-05	3.711497686225215801e-05
6.500000000000000000e+01	9.094827443404170520e-05	8.189714872404487149e-05	7.454992817879954701e-05	6.846145990276113159e-05	6.333776874369023962e-05	5.895327788612889872e-05	5.516467543718457894e-05	5.184853627415382976e-05	4.892188024676446384e-05	4.632412915568401724e-05	4.399967052028955705e-05	4.189931789200906215e-05	3.999963401742405932e-05
6.400000000000000000e+01	9.769796931294137806e-05	8.797551532070763884e-05	8.008551555999588909e-05	7.355052774556134832e-05	6.804321789597724771e-05	6.333784762106259248e-05	5.926153789694988251e-05	5.569995090206734961e-05	5.256029704403276112e-05	4.976812146436801839e-05	4.726970883467727187e-05	4.501673103632501839e-05	4.297759922000779281e-05
6.300000000000000000e+01	1.046604826614185680e-04	9.424514341781058959e-05	8.579291271723894048e-05	7.879329680480809633e-05	7.289309912258605626e-05	6.784877888468350733e-05	6.348881795488634449e-05	5.967437002898988934e-05	5.630964771489877782e-05	5.332026893894615003e-05	5.064299893219057419e-05	4.823042886335344407e-05	4.604850239095342713e-05
6.200000000000000000e+01	1.118104674536499004e-04	1.006889493250642060e-04	9.165571542839200038e-05	8.418154715905715689e-05	7.787979953574759027e-05	7.249316085528659519e-05	6.782897963593471154e-05	6.375857459542279141e-05	6.016251373378623559e-05	5.696585847152389683e-05	5.411199339229393166e-05	5.153473956788814350e-05	4.919974929085946903e-05
6.100000000000000000e+01	1.189487606076800974e-04	1.071094869497522974e-04	9.750749293191587994e-05	8.955610309735993497e-05	8.285326044089184915e-05	7.712107077015482805e-05	7.216263234584570732e-05	6.783156817154688788e-05	6.401030453070794793e-05	6.061179318903344278e-05	5.756963099747368357e-05	5.483063500956495919e-05	5.235044267908208995e-05
6.000000000000000000e+01	1.264502416528574303e-04	1.138622467697649702e-04	1.036566523682403183e-04	9.519946512077196994e-05	8.807206089303861059e-05	8.198431370872798728e-05	7.671764943115455548e-05	7.210737645960740350e-05	6.804489600309467762e-05	6.443580491114976507e-05	6.120058678808525446e-05	5.828912422229277505e-05	5.565476264937452646e-05
5.900000000000000000e+01	1.341105217198640084e-04	1.207577595264017293e-04	1.099356836133506029e-04	1.009618183161447430e-04	9.341478851798733826e-05	8.696217044216228128e-05	8.134852797664629748e-05	7.647353481001301849e-05	7.217052792538298340e-05	6.834494087389455033e-05	6.491650209327793773e-05	6.183647334714440804e-05	5.902626220504924497e-05
5.800000000000000000e+01	1.423192681344677174e-04	1.281487211190450047e-04	1.166633277835805695e-04	1.071468290170488096e-04	9.913638087494565799e-05	9.227756019475668247e-05	8.635016095412852285e-05	8.116116914149897478e-05	7.659273898387508400e-05	7.253041905322516988e-05	6.889455172325992781e-05	6.561653756305930942e-05	6.264908069414338665e-05
5.700000000000000000e+01	1.503635938805243579e-04	1.353939608115812122e-04	1.232590640048772650e-04	1.132048630837052897e-04	1.047339441931063517e-04	9.750077198003263151e-05	9.123556370139154412e-05	8.575688754378219924e-05	8.092966274578287890e-05	7.663626468625875344e-05	7.279225665113933663e-05	6.933359884949105473e-05	6.619884086970664698e-05
5.600000000000000000e+01	1.585559639680335993e-04	1.427768179291101871e-04	1.299792869018585634e-04	1.193764129750281744e-04	1.104502350766383323e-04	1.028157764886485369e-04	9.620695298271970833e-05	9.043944064353169219e-05	8.534878396580265888e-05	8.081885479621949548e-05	7.676916001161854838e-05	7.312051685332101095e-05	6.981356363995905063e-05
5.500000000000000000e+01	1.669076510199787769e-04	1.502859168683048593e-04	1.368121706744449180e-04	1.256669785013002762e-04	1.162594092326805519e-04	1.082267975273926543e-04	1.012724660230777008e-04	9.519797189614149125e-05	8.983888860293597360e-05	8.507372061102232727e-05	8.081061936336188820e-05	7.696905959104363508e-05	7.349392848581791642e-05
5.400000000000000000e+01	1.753811752557143532e-04	1.579101310645554871e-04	1.437576388301971828e-04	1.320385796911305049e-04	1.221649401304330748e-04	1.137288905577050872e-04	1.064177837869469741e-04	1.000360830927258176e-04	9.440958614190848462e-05	8.939768696918253313e-05	8.492119733785143175e-05	8.088347349941810518e-05	7.723007171682111176e-05
5.300000000000000000e+01	1.839801707072968601e-04	1.656566271039204964e-04	1.508184909307614481e-04	1.385163571676231546e-04	1.281600350269617924e-04	1.193018997409088679e-04	1.116489206018676995e-04	1.049419372520667257e-04	9.903769881822211427e-05	9.378532336120721992e-05	8.909189477971708087e-05	8.485454929814048586e-05	8.102329553583666123e-05
5.200000000000000000e+01	1.926994407058104741e-04	1.735134385683147250e-04	1.579580299471379306e-04	1.450765979771575685e-04	1.342401635731754468e-04	1.249495184610079166e-04	1.169311540295706964e-04	1.099139568138606752e-04	1.037313925577640865e-04	9.822968559007341186e-05	9.330429517876393192e-05	8.887827795476721982e-05	8.486349888241494265e-05
5.100000000000000000e+01	2.015204422404052206e-04	1.814481565311478947e-04	1.651821989983041276e-04	1.517247721014990819e-04	1.403696285124265627e-04	1.306706409014732979e-04	1.222953187347456761e-04	1.149477023411035520e-04	1.084755716172496081e-04	1.027307492892193215e-04	9.758379621024858839e-05	9.294952733261341500e-05	8.875097651396767178e-05
5.000000000000000000e+01	2.104407807104593587e-04	1.894616739776832141e-04	1.724774033015581741e-04	1.584275188852109684e-04	1.465821477893509885e-04	1.364514244673976711e-04	1.276902808560364990e-04	1.200365040707957517e-04	1.132879637906867594e-04	1.072729584133296822e-04	1.019045976187392638e-04	9.706343899881596628e-05	9.268341515839258822e-05
