SZA\Ozone_column_DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	425DU	450DU	475DU	500DU	
8.000000000000000000e+01	9.458551329587836344e-04	9.313917423188931496e-04	9.180933052995739587e-04	9.057500268455922435e-04	8.942294971755759565e-04	8.834211914033344906e-04	8.732397174050851455e-04	8.636248909891549707e-04	8.544369414443706793e-04	8.457165784940473075e-04	8.373543753343922619e-04	8.293970277439204975e-04	8.217460808390072979e-04
7.900000000000000000e+01	1.062190911310304312e-03	1.046312638194657908e-03	1.031636635439992997e-03	1.018078238436963918e-03	1.005409420228393826e-03	9.934872976847303108e-04	9.823221737293220436e-04	9.717143508556943653e-04	9.616497584241384547e-04	9.520120471162539511e-04	9.428624041806641298e-04	9.340799621640178243e-04	9.256487977793187872e-04
7.800000000000000000e+01	1.181930706743347962e-03	1.164592989485420784e-03	1.148578886683185784e-03	1.133797633338312974e-03	1.119944049768266219e-03	1.106987111401773255e-03	1.094739804347711872e-03	1.083149371986538408e-03	1.072116434005453882e-03	1.061641037348056609e-03	1.051599549439806653e-03	1.042031198562397981e-03	1.032817546686923488e-03
7.700000000000000000e+01	1.304730500642712005e-03	1.285876687996172435e-03	1.268544197469306670e-03	1.252489995695708685e-03	1.237473762485682884e-03	1.223392964097855164e-03	1.210120363961048441e-03	1.197585807573094043e-03	1.185626021343096298e-03	1.174255818276883235e-03	1.163386485925641499e-03	1.152956659858381814e-03	1.142973971253410850e-03
7.600000000000000000e+01	1.430211050529320554e-03	1.409891765857868148e-03	1.391221618863544389e-03	1.373887096915979433e-03	1.357717986359494554e-03	1.342553492247113098e-03	1.328228641154399195e-03	1.314711411416708735e-03	1.301817782892612102e-03	1.289541109870209886e-03	1.277794111662260883e-03	1.266595233133396836e-03	1.255796145522188479e-03
7.500000000000000000e+01	1.558147406168118414e-03	1.536340325627417796e-03	1.516333783648692729e-03	1.497751658209549438e-03	1.480408262612915686e-03	1.464179683046310833e-03	1.448775114859743264e-03	1.434248593442998465e-03	1.420428697290777691e-03	1.407255157707238595e-03	1.394691129270181134e-03	1.382639224357490662e-03	1.371045141583041070e-03
7.400000000000000000e+01	1.688290509629934884e-03	1.665039895386509830e-03	1.643657398878038212e-03	1.623820414920861986e-03	1.605286537750612525e-03	1.587903317184972615e-03	1.571577134936338795e-03	1.556043862414773285e-03	1.541276853045184247e-03	1.527160800025910165e-03	1.513765013558945882e-03	1.500891951514940915e-03	1.488551177910922172e-03
7.300000000000000000e+01	1.820442255898363721e-03	1.795726644491954255e-03	1.773036960473233252e-03	1.751913376551175999e-03	1.732227157434942499e-03	1.713721659187641619e-03	1.696322567559674062e-03	1.679782105223473487e-03	1.664111520131478271e-03	1.649159856558839567e-03	1.634894509006664959e-03	1.621158089632086189e-03	1.608013990066537151e-03
7.200000000000000000e+01	1.954429255662948426e-03	1.928325543975017205e-03	1.904105307878382414e-03	1.881827828872105479e-03	1.860952637307764857e-03	1.841390491219902035e-03	1.822844015065043727e-03	1.805348121035568309e-03	1.788798148773478210e-03	1.772956679657414995e-03	1.757765662689768187e-03	1.743196227556281135e-03	1.729332782237483429e-03
7.100000000000000000e+01	2.090196831580788932e-03	2.062440276537101831e-03	2.036896959805487971e-03	2.013369575592014252e-03	1.991268611506118776e-03	1.970665950094037649e-03	1.951062439140382196e-03	1.932777541978512740e-03	1.915132444218160899e-03	1.898378537493972985e-03	1.882306059250906955e-03	1.867145084256724170e-03	1.852332066398294135e-03
7.000000000000000000e+01	2.227101604726138516e-03	2.198159088429115036e-03	2.171217684157690595e-03	2.146380577909838289e-03	2.123189708591588336e-03	2.101428342860426485e-03	2.081007778545222384e-03	2.061528651824092069e-03	2.042931136276577263e-03	2.025397583964262758e-03	2.008429049040122601e-03	1.992111095322205826e-03	1.976672037731043614e-03
