SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
7.600000000000000000e+01	1.220182648282544611e-03	1.200232114636174980e-03	1.182187890859637703e-03	1.165774861954792761e-03	1.150626022820212162e-03	1.136676620621923303e-03	1.123509661045563957e-03	1.111313755620581354e-03	1.099559461040333468e-03	1.088597072962320606e-03	1.078147695295778854e-03
7.500000000000000000e+01	1.343706048665845292e-03	1.322140045146952443e-03	1.302697572166104005e-03	1.284856920573348039e-03	1.268611137483257201e-03	1.253422081883213881e-03	1.239247091062809815e-03	1.225992063385350104e-03	1.213425063196652302e-03	1.201469980861345418e-03	1.190193965936868882e-03
7.400000000000000000e+01	1.471356383258873909e-03	1.448194078291490999e-03	1.427204847056986461e-03	1.408120571207845031e-03	1.390614638043902087e-03	1.374284162431928724e-03	1.359028484054999398e-03	1.344714118484047118e-03	1.331214294427433440e-03	1.318326430304904645e-03	1.306187998747583220e-03
7.300000000000000000e+01	1.602803868242575792e-03	1.577881403045972627e-03	1.555467349089133082e-03	1.535065042672016915e-03	1.516237530990692962e-03	1.498830529155466881e-03	1.482453911423119598e-03	1.467091539786823540e-03	1.452592907783131814e-03	1.438874756656404776e-03	1.425717461497297582e-03
7.200000000000000000e+01	1.737517500214586386e-03	1.711028139661623700e-03	1.687120845527314899e-03	1.665283703899584494e-03	1.645271205317778854e-03	1.626518151053849524e-03	1.609091049894968359e-03	1.592690645708992256e-03	1.577189684860972078e-03	1.562559560754066051e-03	1.548547804597115657e-03
7.100000000000000000e+01	1.875219931954065370e-03	1.847019595436661873e-03	1.821580656609277094e-03	1.798407583285869171e-03	1.777099357158606159e-03	1.757194240142164300e-03	1.738642855960806019e-03	1.721197858165341571e-03	1.704713500465568788e-03	1.689073083682845295e-03	1.674256628548000158e-03
7.000000000000000000e+01	2.015485681629337195e-03	1.985594395366759978e-03	1.958682925052741223e-03	1.934003810129084587e-03	1.911410560090842734e-03	1.890279105071674152e-03	1.870639440564269640e-03	1.852209335740343139e-03	1.834713049353593880e-03	1.818181768675304708e-03	1.802395309686618185e-03
6.900000000000000000e+01	2.157864636874735464e-03	2.126357712628882280e-03	2.097924861710844750e-03	2.072024566475239547e-03	2.047942333495597969e-03	2.025771066792612235e-03	2.004968153590245324e-03	1.985385507484842011e-03	1.966911766716048730e-03	1.949405158581447211e-03	1.932786513496229401e-03
6.800000000000000000e+01	2.302274497798416190e-03	2.269055483508552063e-03	2.238938367165063757e-03	2.211601154230491764e-03	2.186344162888467259e-03	2.162985177409723278e-03	2.141016653018086580e-03	2.120364845373554595e-03	2.100936061754335882e-03	2.082493688272600302e-03	2.064830999484043843e-03
6.700000000000000000e+01	2.448067119632927648e-03	2.413099112111720661e-03	2.381582987732435482e-03	2.352809046432592990e-03	2.326293292681075233e-03	2.301623472587801394e-03	2.278622156305904096e-03	2.256931742278965071e-03	2.236384351048971691e-03	2.217022235606925379e-03	2.198494693698875742e-03
6.600000000000000000e+01	2.595140430923098974e-03	2.558431952978701060e-03	2.525493008292159242e-03	2.495276712995678388e-03	2.467474667931048894e-03	2.441633280698221088e-03	2.417424414223730885e-03	2.394608384008549678e-03	2.373224840551455862e-03	2.352884190160108979e-03	2.333478533743620423e-03
6.500000000000000000e+01	2.743233115669408383e-03	2.704836143990474884e-03	2.670271894194983786e-03	2.638656764940243600e-03	2.609591696575041652e-03	2.582509902771753380e-03	2.557256706131065017e-03	2.533439281063716315e-03	2.511009086782461670e-03	2.489756560295844096e-03	2.469382849846757638e-03
6.400000000000000000e+01	2.891865930558991382e-03	2.851879418526011463e-03	2.815797914093228285e-03	2.782800382966751397e-03	2.752445248616430893e-03	2.724234097164757000e-03	2.697779296423297776e-03	2.673011546173186849e-03	2.649535932674599182e-03	2.627336257995827040e-03	2.606149074300333560e-03
6.300000000000000000e+01	3.041046499528323593e-03	2.999341107742111660e-03	2.961807495740705325e-03	2.927443599530964429e-03	2.895790100201320414e-03	2.866357818155237935e-03	2.838902706456116181e-03	2.813060166775169235e-03	2.788550604154274668e-03	2.765338727319950791e-03	2.743351583098102998e-03
6.200000000000000000e+01	3.190552239176286126e-03	3.147207479708428318e-03	3.108068572214222908e-03	3.072371951797040878e-03	3.039451617348633023e-03	3.008804749806825475e-03	2.980181503591694103e-03	2.953339052929131268e-03	2.927820023596898989e-03	2.903719660011995062e-03	2.880874131423017282e-03
6.100000000000000000e+01	3.336346149567618723e-03	3.291327049521921861e-03	3.250814914804801229e-03	3.213775203030077871e-03	3.179724833710147885e-03	3.147883011665935770e-03	3.118312988017615459e-03	3.090422163766801556e-03	3.063975689328472807e-03	3.038908924158818369e-03	3.015187491809205242e-03
6.000000000000000000e+01	3.485485560677470569e-03	3.438843906936247911e-03	3.396883891328639649e-03	3.358528591659288350e-03	3.323029805573124613e-03	3.290202547414659926e-03	3.259478325564014230e-03	3.230579108937186444e-03	3.203123741444161270e-03	3.177287533294006171e-03	3.152642699403186179e-03
5.900000000000000000e+01	3.634201673696883968e-03	3.585925358421700963e-03	3.542497423957028692e-03	3.502699010231878889e-03	3.466137834954247446e-03	3.432210601148507918e-03	3.400352031357643193e-03	3.370388614172242347e-03	3.342129725245255017e-03	3.315250201797280329e-03	3.289715083802966216e-03
5.800000000000000000e+01	3.786618622246201021e-03	3.736693170839295534e-03	3.691739697461039315e-03	3.650722426875549140e-03	3.612851491692800881e-03	3.577645572234987650e-03	3.544807177757851487e-03	3.513843374614097556e-03	3.484564644456870138e-03	3.456827307232083080e-03	3.430442764118683818e-03
5.700000000000000000e+01	3.934359426288070935e-03	3.882886347392688290e-03	3.836545634813348822e-03	3.794232754010034344e-03	3.755113382730715637e-03	3.718847104312188179e-03	3.684847471106329937e-03	3.652939758237515322e-03	3.622717223858699064e-03	3.594116218976167124e-03	3.566828863672370353e-03
5.600000000000000000e+01	4.081262820129220176e-03	4.028315167434976668e-03	3.980561551909845598e-03	3.936919259602281174e-03	3.896639048650639859e-03	3.859317934990562100e-03	3.824288655799674454e-03	3.791349778454149080e-03	3.760234634930380293e-03	3.730773666766547085e-03	3.702663500918600137e-03
5.500000000000000000e+01	4.227364740203578934e-03	4.172852668665775859e-03	4.123657482977868827e-03	4.078658004877749009e-03	4.037335781339025133e-03	3.998829210660289311e-03	3.962815612144658488e-03	3.928892432588301786e-03	3.896922322146108546e-03	3.866446967156781690e-03	3.837634541267731514e-03
5.400000000000000000e+01	4.372342586661420380e-03	4.316277693545317838e-03	4.265763134766118077e-03	4.219536892084955679e-03	4.176979068749015964e-03	4.137399992302887367e-03	4.100411091744508678e-03	4.065596075137435650e-03	4.032700903561514845e-03	4.001384198071806543e-03	3.971697739304192246e-03
5.300000000000000000e+01	4.516093539895343380e-03	4.458612035674987088e-03	4.406661440144316044e-03	4.359215974248653591e-03	4.315495472315956232e-03	4.274852555981864706e-03	4.236746984614831076e-03	4.201051771085234643e-03	4.167273597599352800e-03	4.135303106349788246e-03	4.104764851625654874e-03
5.200000000000000000e+01	4.658520738639212490e-03	4.599532918007462508e-03	4.546256714043708097e-03	4.497668766408960406e-03	4.452812537548700433e-03	4.411116225260858226e-03	4.372160445009769421e-03	4.335520047545653004e-03	4.300855531305053901e-03	4.267972124101795765e-03	4.236657054251017317e-03
5.100000000000000000e+01	4.799692269415733147e-03	4.739194625298768886e-03	4.684650785785652964e-03	4.634686551983812665e-03	4.588846573778856616e-03	4.546134768473382437e-03	4.506183877078118877e-03	4.468547187372582524e-03	4.432978670991360309e-03	4.399333200241455424e-03	4.367291322250290396e-03
5.000000000000000000e+01	4.939322928302865463e-03	4.877299103578304658e-03	4.821468427755399438e-03	4.770520762933991472e-03	4.723442966755191964e-03	4.679659405915964111e-03	4.638772466130204955e-03	4.600266082803229975e-03	4.563910681662051473e-03	4.529489110399328826e-03	4.496669193976022758e-03
