SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
8.000000000000000000e+01	1.803593356267717824e-05	1.572127114347939754e-05	1.395271180870153799e-05	1.255609732748108770e-05	1.142220942721995930e-05	1.048306701501567937e-05	9.690610225555875695e-06	9.012921998663512351e-06	8.426070198144269393e-06	7.912515601329451982e-06	7.458752240967473438e-06
7.900000000000000000e+01	2.122645526252999243e-05	1.850835078406628699e-05	1.643402928038570834e-05	1.479423725122112333e-05	1.346254557002331055e-05	1.235914871329320380e-05	1.142826394970931630e-05	1.063231901531744580e-05	9.942873402070269000e-06	9.339435220526652226e-06	8.806762105903559877e-06
7.800000000000000000e+01	2.473930757541797993e-05	2.158100000208187710e-05	1.916813414912855293e-05	1.726121561148202018e-05	1.571299082650089857e-05	1.442851144054976674e-05	1.334633239666267518e-05	1.241999592169382037e-05	1.161756443919566527e-05	1.091601527053120304e-05	1.029545978940777572e-05
7.700000000000000000e+01	2.858665142407958913e-05	2.494660736253739112e-05	2.216469411807895596e-05	1.996546831572697369e-05	1.817874527606612916e-05	1.669879759072866353e-05	1.544978115282615708e-05	1.438140333103851160e-05	1.345520634234866827e-05	1.264492408004595063e-05	1.192961141138960306e-05
7.600000000000000000e+01	3.277893138209636971e-05	2.861315900428737611e-05	2.542874708101997320e-05	2.291098131438368081e-05	2.086679796403400803e-05	1.917103633181891113e-05	1.774137796436117589e-05	1.651872342703126175e-05	1.545771809435408521e-05	1.453090028183253739e-05	1.371201755685505680e-05
7.500000000000000000e+01	3.731519716405053236e-05	3.258428951882603943e-05	2.896581648813634967e-05	2.610298514578272833e-05	2.377932345329983332e-05	2.185226873687863328e-05	2.022649921064150941e-05	1.883551066118377813e-05	1.763105046828578463e-05	1.657474957082175402e-05	1.564333232765889408e-05
7.400000000000000000e+01	4.220444697279002936e-05	3.686126467781336959e-05	3.277521782395770034e-05	2.954416913655648946e-05	2.691800770780036623e-05	2.474132405990885693e-05	2.290401848870475825e-05	2.133304278094186538e-05	1.997189733543420806e-05	1.877924918770031111e-05	1.772545746432405852e-05
7.300000000000000000e+01	4.744477835504527444e-05	4.144502878897191213e-05	3.686071554575292176e-05	3.323183119031809210e-05	3.028374182029842403e-05	2.783952356936136063e-05	2.577752659112543510e-05	2.401081755173290158e-05	2.248310211043774172e-05	2.114315233030497669e-05	1.996123221757241880e-05
7.200000000000000000e+01	5.303035548424709939e-05	4.633985367202080697e-05	4.122138962951482676e-05	3.716823915165671014e-05	3.387659518957817750e-05	3.114414212972512239e-05	2.884122390900169863e-05	2.687022153022177080e-05	2.516064394346505495e-05	2.366666927854901761e-05	2.234405643236305993e-05
7.100000000000000000e+01	5.897077018762383465e-05	5.153757134898630211e-05	4.584797358384143834e-05	4.134874981682756269e-05	3.769232461224918763e-05	3.465564340725705108e-05	3.209687389597535163e-05	2.990604886281375647e-05	2.800700639332939619e-05	2.634522346409861769e-05	2.487781374528462197e-05
7.000000000000000000e+01	6.524912430395800767e-05	5.703575927264590748e-05	5.075165320693204168e-05	4.576998846640042805e-05	4.172911123793927651e-05	3.837271908199557234e-05	3.553996528673624431e-05	3.311636915737886606e-05	3.101890876473499298e-05	2.918025357255603445e-05	2.755770039332980717e-05
6.900000000000000000e+01	7.186744134308868399e-05	6.282544568053964260e-05	5.590934711404713038e-05	5.043360300723737403e-05	4.597794387724057143e-05	4.228483597495200644e-05	3.916855609010675776e-05	3.649991679309035509e-05	3.418968764536786702e-05	3.216641088808324528e-05	3.038046581307965105e-05
6.800000000000000000e+01	7.881394113217669948e-05	6.891169554834522938e-05	6.132422828167215473e-05	5.532327523387719202e-05	5.044241640341346172e-05	4.639461717222841309e-05	4.297810184193178666e-05	4.005245522390245993e-05	3.751895524565890228e-05	3.530279688873127396e-05	3.334030078929356737e-05
6.700000000000000000e+01	8.607974217349430616e-05	7.527194830841750126e-05	6.699394491632536123e-05	6.043773061339315360e-05	5.511150482095546595e-05	5.069121457431251433e-05	4.696270323483267301e-05	4.376658191808110532e-05	4.100128489171101415e-05	3.857842126234090372e-05	3.643823551470624022e-05
6.600000000000000000e+01	9.366650387842531981e-05	8.190893860477493275e-05	7.290661774325746301e-05	6.577652066722508887e-05	5.998218405158473271e-05	5.517346610191167355e-05	5.111542282317473496e-05	4.763917434844547333e-05	4.463080554303723384e-05	4.199587767301856561e-05	3.966837558800789977e-05
6.500000000000000000e+01	1.015544821307501290e-04	8.880030242488323549e-05	7.904825116189651685e-05	7.132194291035460338e-05	6.504416062574586794e-05	5.982812085796467184e-05	5.543426093771812018e-05	5.166527292558977609e-05	4.840474882570961672e-05	4.554973442380752936e-05	4.302467319235090380e-05
6.400000000000000000e+01	1.097306637141276926e-04	9.595549756756520550e-05	8.541775660954824658e-05	7.707260210020049106e-05	7.029033416790621616e-05	6.466059184953896295e-05	5.990711262647289352e-05	5.584079596544776913e-05	5.231557865667557807e-05	4.923270005157830994e-05	4.650827395977234411e-05
6.300000000000000000e+01	1.181867347116061256e-04	1.033494624918085793e-04	9.200285364286744374e-05	8.301683294219101578e-05	7.571737099876800936e-05	6.965199278270459778e-05	6.453421066637171947e-05	6.015666252156651623e-05	5.635908614472971657e-05	5.303399542096741312e-05	5.010162905063723644e-05
6.200000000000000000e+01	1.269100728859396234e-04	1.109794827415465075e-04	9.879675996776163434e-05	8.914678783279318783e-05	8.130239497216920348e-05	7.479627826016872500e-05	6.930294894985030731e-05	6.459902567999168484e-05	6.052434718167827517e-05	5.695506095864233517e-05	5.380881673662780247e-05
6.100000000000000000e+01	1.356744256633534036e-04	1.186322528437308685e-04	1.056091791497718518e-04	9.529821455281474527e-05	8.692117226115103927e-05	7.996194339397715695e-05	7.409344723871489063e-05	6.906427228138565849e-05	6.470797241454586063e-05	6.089328653391730829e-05	5.753070932631808011e-05
6.000000000000000000e+01	1.448601570630366679e-04	1.266589928823980767e-04	1.127513980195791196e-04	1.017438140608296421e-04	9.279787862005564375e-05	8.537264355881517481e-05	7.910427234802708566e-05	7.373949767878150690e-05	6.908867342740634119e-05	6.501931245679433359e-05	6.142370347635518269e-05
5.900000000000000000e+01	1.542632062787219649e-04	1.348572349360903843e-04	1.200499807739953997e-04	1.083273717212985529e-04	9.881324621337614800e-05	9.093234056558227563e-05	8.423858536815946455e-05	7.852168828953849872e-05	7.356404667788046250e-05	6.923193118162693888e-05	6.541164229666069664e-05
5.800000000000000000e+01	1.642792679259851398e-04	1.436108305179101296e-04	1.278320114766074572e-04	1.153573003074841619e-04	1.052112369753538021e-04	9.679384902072426925e-05	8.969381518497763616e-05	8.360685477582795763e-05	7.833478790692191573e-05	7.372190220950822779e-05	6.964607405709615255e-05
5.700000000000000000e+01	1.741528049760651437e-04	1.522357243361794103e-04	1.355102928706658244e-04	1.222811176565487463e-04	1.115301167449242995e-04	1.025989655774392490e-04	9.506968248384772304e-05	8.862425484608895819e-05	8.303649131809446736e-05	7.814603712589600598e-05	7.382762315150432513e-05
5.600000000000000000e+01	1.842219801452126427e-04	1.610263787202195589e-04	1.433266271157437909e-04	1.293316167939393812e-04	1.179573943071873338e-04	1.085257695817602112e-04	1.005553392662282314e-04	9.373383459340934806e-05	8.782297564275625518e-05	8.265252211741244985e-05	7.808306110101442983e-05
5.500000000000000000e+01	1.944765897191640851e-04	1.699684849028319138e-04	1.512804120905525743e-04	1.364926894682001366e-04	1.245022831952519659e-04	1.145330355279537980e-04	1.061305142949551356e-04	9.892793797899582166e-05	9.269528792036749903e-05	8.722927521701431353e-05	8.241085827155364592e-05
5.400000000000000000e+01	2.048877051815698814e-04	1.790514711962740060e-04	1.593573832766501900e-04	1.437745219989079346e-04	1.311358016453296235e-04	1.206398588763473974e-04	1.117853245950622016e-04	1.041967400057458522e-04	9.763008477295533711e-05	9.187427602331058041e-05	8.679896159016886451e-05
5.300000000000000000e+01	2.154347536629143281e-04	1.882596950925110842e-04	1.675299002556893601e-04	1.511532711653556127e-04	1.378544158929281404e-04	1.268254442277918462e-04	1.175057508327600277e-04	1.095398081332158731e-04	1.026316484939039083e-04	9.659153595778630064e-05	9.125067432939074292e-05
5.200000000000000000e+01	2.261192856176505374e-04	1.975707677747306405e-04	1.757956439715029062e-04	1.586144177149481714e-04	1.446571811404155411e-04	1.330806429535327470e-04	1.233069788551952517e-04	1.149451531030384037e-04	1.076988278273413287e-04	1.013488770158379017e-04	9.574805576926986362e-05
5.100000000000000000e+01	2.369444116178875070e-04	2.069806161719045697e-04	1.841735721605545985e-04	1.661505891096141723e-04	1.515332292442313190e-04	1.394049545804823499e-04	1.291630482593883033e-04	1.204008086296032450e-04	1.128049132715297167e-04	1.061635787415977835e-04	1.002918357376211220e-04
5.000000000000000000e+01	2.478617116872988192e-04	2.164815462632728460e-04	1.926209756492912382e-04	1.737549981498952875e-04	1.584688896058227513e-04	1.457738625427282698e-04	1.350723978353370448e-04	1.259014905166913243e-04	1.179648799723194695e-04	1.110137067080400181e-04	1.048783754933483637e-04
