SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
8.000000000000000000e+01	7.751568578999890480e-04	7.613159763774424767e-04	7.487872741353887585e-04	7.374179322833134594e-04	7.268792014345048635e-04	7.172078941934704414e-04	7.081821042012948538e-04	6.995888045245670945e-04	6.915859155567458550e-04	6.840151026504862584e-04	6.767704512077891629e-04
7.900000000000000000e+01	8.782934707929171718e-04	8.629381399415956893e-04	8.491291943084594129e-04	8.365712261081108964e-04	8.249830476507839794e-04	8.141948945295880615e-04	8.041498977943251992e-04	7.947205869011668335e-04	7.859030641606366699e-04	7.773903026324019763e-04	7.694050034207146902e-04
7.800000000000000000e+01	9.869854630519597424e-04	9.701501369321236532e-04	9.549117871476280224e-04	9.411227828075808752e-04	9.284294371953518994e-04	9.165465085784898309e-04	9.055434694931030048e-04	8.951419067740557043e-04	8.853728176318813011e-04	8.761093933395591900e-04	8.673147961676403849e-04
7.700000000000000000e+01	1.100909485604846440e-03	1.082513146662778284e-03	1.065983273911562867e-03	1.050886887229502981e-03	1.036949514795038312e-03	1.024063253241150242e-03	1.011963168940858970e-03	1.000770598597120007e-03	9.900781426021793355e-04	9.798218590771673366e-04	9.702661695527893537e-04
7.600000000000000000e+01	1.219874588786683169e-03	1.199929263364959585e-03	1.181889741562316964e-03	1.165480983277117051e-03	1.150336080197924323e-03	1.136390298552672744e-03	1.123226752328359938e-03	1.111034005493957613e-03	1.099282751994757733e-03	1.088323198199668681e-03	1.077876519867099637e-03
7.500000000000000000e+01	1.343368082322187861e-03	1.321807696820629556e-03	1.302370279844065632e-03	1.284534260002198744e-03	1.268292688785652720e-03	1.253107566099876877e-03	1.238936241688670540e-03	1.225684638986537182e-03	1.213120882481976857e-03	1.201168883576509338e-03	1.189895774572602948e-03
7.400000000000000000e+01	1.470987585135703768e-03	1.447831302857023432e-03	1.426847518222696927e-03	1.407768187042540524e-03	1.390266783766994909e-03	1.373940527713467686e-03	1.358688786527991648e-03	1.344378112134615635e-03	1.330881764080404320e-03	1.317997216216805533e-03	1.305861906222574803e-03
7.300000000000000000e+01	1.602403345702169872e-03	1.577487348916408599e-03	1.555079101781897807e-03	1.534682071447865089e-03	1.515859420729302135e-03	1.498456908911457823e-03	1.482084508957116952e-03	1.466726091520821531e-03	1.452231185673797742e-03	1.438516558429284511e-03	1.425362637958132615e-03
7.200000000000000000e+01	1.737084441964001271e-03	1.710601946937539411e-03	1.686700834285313755e-03	1.664869331613274194e-03	1.644861992884867055e-03	1.626113766702154883e-03	1.608691148629068672e-03	1.592294955100564350e-03	1.576797972340850638e-03	1.562171599880433524e-03	1.548163432450334409e-03
7.100000000000000000e+01	1.874753544424340949e-03	1.846560507687263451e-03	1.821128138901033020e-03	1.797961041878682210e-03	1.776658301549309581e-03	1.756758301627271094e-03	1.738211680645448346e-03	1.720771158364562195e-03	1.704291023457336256e-03	1.688654610146181779e-03	1.673841944683307839e-03
