SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
7.400000000000000000e+01	4.219341519697767041e-05	3.685164974434783971e-05	3.276668414816335764e-05	2.953648892206116200e-05	2.691102006256594471e-05	2.473490959861741545e-05	2.289808720729748481e-05	2.132752412604322324e-05	1.996673579088579169e-05	1.877440021376174182e-05	1.772088440481185291e-05
7.300000000000000000e+01	4.743240127828055155e-05	4.143424022327491001e-05	3.685113816266191093e-05	3.322321077434555825e-05	3.027589754688248666e-05	2.783232183157535009e-05	2.577086616244179110e-05	2.400462033227189436e-05	2.247730496523794007e-05	2.113770571773135489e-05	1.995609447325802995e-05
7.200000000000000000e+01	5.301654625997078519e-05	4.632781327245602429e-05	4.121069949399660008e-05	3.715861621890894728e-05	3.386783751695701054e-05	3.113610159957724312e-05	2.883378696048564135e-05	2.686330047713257578e-05	2.515416985995133035e-05	2.366058534824752409e-05	2.233831755076326435e-05
7.100000000000000000e+01	5.895543841962125911e-05	5.152420220210950417e-05	4.583610335281508889e-05	4.133806261532864228e-05	3.768259715909217690e-05	3.464671181239845267e-05	3.208861194736384380e-05	2.989835952588887843e-05	2.799981280411001884e-05	2.633846320527959430e-05	2.487143572820875255e-05
7.000000000000000000e+01	6.523218292965716851e-05	5.702098401944856557e-05	5.073853154365594764e-05	4.575817513913139239e-05	4.171835729976727000e-05	3.836284371924925427e-05	3.553083035707508468e-05	3.310786688124747664e-05	3.101095334411348739e-05	2.917277698276503779e-05	2.755064591612338838e-05
6.900000000000000000e+01	7.184880141844439123e-05	6.280918818418606295e-05	5.589490776083612161e-05	5.042060032615052053e-05	4.596610817495474550e-05	4.227396603338781867e-05	3.915849987228480714e-05	3.649055650563314543e-05	3.418092906231446834e-05	3.215817868671817196e-05	3.037269774361288396e-05
6.800000000000000000e+01	7.879351541128536336e-05	6.889387696411313671e-05	6.130840293636526637e-05	5.530902317136131594e-05	5.042944175317107914e-05	4.638270023344557246e-05	4.296707635767151875e-05	4.004219212984039202e-05	3.750935149939670354e-05	3.529376925191891418e-05	3.333178281572623923e-05
6.700000000000000000e+01	8.605744419321991866e-05	7.525249447741412382e-05	6.697666464521502170e-05	6.042216838045450249e-05	5.509733586431126833e-05	5.067820007810275193e-05	4.695066114054738843e-05	4.375537229078731334e-05	4.099079460643476752e-05	3.856856053470708416e-05	3.642893031367650875e-05
6.600000000000000000e+01	9.364224510538414535e-05	8.188777316307399329e-05	7.288781542033109242e-05	6.575958633987598985e-05	5.996676510594291096e-05	5.515930280497765068e-05	5.110231766633170891e-05	4.762697439718217060e-05	4.461938802727738376e-05	4.198514468631261894e-05	3.965824662845037439e-05
6.500000000000000000e+01	1.015281776497720437e-04	8.877735343121488459e-05	7.902786212252454784e-05	7.130357807146141789e-05	6.502743765687681672e-05	5.981275993182829634e-05	5.542004575613540670e-05	5.165203925585856623e-05	4.839236324557833098e-05	4.553809061827592767e-05	4.301368473912568714e-05
