SZA\Ozone_column_DU	0025DU	0050DU	0075DU	0100DU	0125DU	0150DU	0175DU	0200DU	0225DU	0250DU	0275DU	0300DU	0325DU	0350DU	0375DU	0400DU	0425DU	0450DU	0475DU	0500DU	0750DU	1000DU	1500DU	2000DU	3000DU	
8.000000000000000000e+01	1.038920583620000344e-04	5.898321263872001441e-05	4.230440305308598334e-05	3.322206964259900787e-05	2.740442026479660354e-05	2.333944300738700125e-05	2.033415743140710216e-05	1.802338640559059945e-05	1.619120298363609252e-05	1.470448700195200506e-05	1.347300601323200244e-05	1.243693713651900453e-05	1.155323443225799708e-05	1.078944693454099972e-05	1.012359883266539853e-05	9.536575649871299978e-06	9.015538163345000717e-06	8.549571909051901006e-06	8.130450993583702174e-06	7.751014304346799213e-06	5.292680360517199236e-06	4.014358971538798910e-06	2.689274379805400162e-06	2.003745890807800286e-06	1.301098727103299968e-06
7.900000000000000000e+01	1.230508314839999886e-04	6.998758354890000360e-05	5.032138954902000264e-05	3.960773042406501114e-05	3.273488839330699387e-05	2.791807433986100452e-05	2.434783335758989814e-05	2.159632010998599824e-05	1.941175889590720350e-05	1.763597596664199895e-05	1.616458869527500573e-05	1.492650330861800273e-05	1.386826564790000073e-05	1.295402178896800093e-05	1.215645179201609958e-05	1.145444892679439895e-05	1.083057306555369626e-05	1.027305618283135143e-05	9.771599972705550567e-06	9.317222887003999727e-06	6.375298350060899891e-06	4.844223873083799322e-06	3.254394589385399869e-06	2.430938884431499240e-06	1.584089267436999895e-06
7.800000000000000000e+01	1.442037359900000932e-04	8.210617819599997811e-05	5.914467083293701221e-05	4.664580615707901044e-05	3.861853542641839366e-05	3.297849149387799435e-05	2.878843027932879848e-05	2.555160547886420658e-05	2.297916749306000452e-05	2.088507675494799960e-05	1.914694426829899551e-05	1.768367217668399992e-05	1.643251844810700378e-05	1.535266369352800042e-05	1.440865450566170069e-05	1.357797259456369594e-05	1.284104010024420018e-05	1.218186927106479994e-05	1.158832381227934814e-05	1.105115440851220248e-05	7.573507133828000893e-06	5.763277124080400339e-06	3.881519590260400096e-06	2.905145209889900361e-06	1.899371335213599970e-06
7.700000000000000000e+01	1.673402858769999768e-04	9.532404308409992441e-05	6.876025981937501164e-05	5.431803918266300477e-05	4.503590859037699261e-05	3.850659557892699008e-05	3.364502415466111420e-05	2.988279055010939370e-05	2.688430378630819400e-05	2.444163870045999490e-05	2.241359079451901295e-05	2.070345894592199844e-05	1.924291366216799695e-05	1.797844297454400514e-05	1.687660366482430035e-05	1.590442318525849526e-05	1.504204348850529701e-05	1.427040427881619951e-05	1.357722117022730185e-05	1.294961976997359714e-05	8.884416978417001499e-06	6.768551118963200772e-06	4.568051494572001301e-06	3.425187621777299405e-06	2.245950800014399991e-06
7.600000000000000000e+01	1.924309030950000128e-04	1.096137491740000131e-04	7.914139673293100574e-05	6.260090789015903829e-05	5.197296727624497775e-05	4.448521957500700593e-05	3.889942173331969538e-05	3.457150531494620241e-05	3.111548964254919920e-05	2.829843179590599598e-05	2.595729335362199195e-05	2.397954609943499902e-05	2.228798828074599181e-05	2.082719690998500016e-05	1.955054803121839528e-05	1.842531859955399325e-05	1.742662785808420713e-05	1.653426020247799729e-05	1.573219172936509902e-05	1.500599005091019968e-05	1.030331863283000158e-05	7.857206956090800404e-06	5.311858053165999087e-06	3.988800151569301063e-06	2.622714201822300065e-06
7.500000000000000000e+01	2.194418437150000344e-04	1.249334547369000497e-04	9.025727857644300078e-05	7.146981933345599705e-05	5.939922276898302071e-05	5.089036338666499943e-05	4.453700649285330360e-05	3.960442884560299274e-05	3.566463573087098415e-05	3.244423900655600470e-05	2.976329935093599988e-05	2.750190763341200118e-05	2.556324059389799688e-05	2.388789066557599758e-05	2.242481092134289685e-05	2.113502772154949246e-05	1.999055309235089713e-05	1.896694167877200217e-05	1.804664977763599699e-05	1.721255896741130488e-05	1.182478381511499839e-05	9.024765524205798786e-06	6.110124441292799165e-06	4.594678521593400513e-06	3.028066022943299994e-06
7.400000000000000000e+01	2.482972462830002037e-04	1.412675041146000407e-04	1.020746142700069698e-04	8.089455599696701484e-05	6.729979038905996780e-05	5.770463054700600855e-05	5.053822564197530190e-05	4.496817588552498308e-05	4.050987561235097140e-05	3.686062864984199732e-05	3.382387399181799586e-05	3.125537272508399671e-05	2.905666364116099440e-05	2.715454038077799823e-05	2.549113924373030580e-05	2.402526902169849421e-05	2.272300156857741022e-05	2.156013044306649129e-05	2.051528755763420107e-05	1.956642498007799645e-05	1.344569332526499860e-05	1.026778543636159866e-05	6.960010734494200990e-06	5.240342858701799695e-06	3.460728592203100417e-06
7.300000000000000000e+01	2.789492404200000046e-04	1.585637249214000549e-04	1.145647939447309730e-04	9.084130369302894248e-05	7.563251950243003046e-05	6.490916998618001012e-05	5.688264001729238014e-05	5.064071696584318398e-05	4.563658321172799732e-05	4.153994034434800516e-05	3.812270484078001217e-05	3.523323231236099819e-05	3.275776159299600277e-05	3.061495002203899838e-05	2.874003606658050416e-05	2.708593529759499382e-05	2.562028643215020357e-05	2.430758680575649899e-05	2.312676346887440254e-05	2.205982105557360048e-05	1.515997576902799634e-05	1.158131306238859895e-05	7.859233461739800489e-06	5.922455773277800569e-06	3.919068490079799962e-06
7.200000000000000000e+01	3.111413911299999919e-04	1.766637431816000538e-04	1.276199170080190108e-04	1.012240026064510168e-04	8.432956243969701453e-05	7.241857731803700085e-05	6.350468953019598251e-05	5.656199898403859464e-05	5.099273889802900746e-05	4.642855986439799594e-05	4.261987353125399025e-05	3.939440652612899918e-05	3.662863091304000121e-05	3.423335323803200080e-05	3.213728017771500694e-05	3.028811862689050202e-05	2.864761855763249838e-05	2.718042990678049396e-05	2.586152281676025043e-05	2.466588434899919395e-05	1.694966458896699863e-05	1.295291958427879835e-05	8.797667323704201812e-06	6.635181748971398436e-06	4.398100474514999527e-06
7.100000000000000000e+01	3.446382780700000528e-04	1.954605369222000351e-04	1.411342314419890081e-04	1.119871590829490000e-04	9.334345758932599947e-05	8.020701116074604661e-05	7.037695511072501167e-05	6.271260304830918392e-05	5.656319385042700995e-05	5.151166828475600641e-05	4.729499865721600952e-05	4.372135868582399990e-05	4.065845327916699090e-05	3.799939942278700007e-05	3.567481560418300448e-05	3.362251904975400112e-05	3.179936692967339098e-05	3.017087152488800127e-05	2.870417330052920553e-05	2.737611665882140385e-05	1.881203160599299857e-05	1.437729913008639947e-05	9.773363232848400825e-06	7.377232726284098014e-06	4.896637638975700005e-06
